Dataset,feature_name,Threshold Method,OoD Val Fold,InD Val Fold,OoD Test Fold,InD Test Fold,Shift,Shift Intensity,tpr,tnr,ba
CCT,GradNorm,val_optimal,OoD Val,ind_val,adv_0.15000000000000002,ind_val,adv,0.15000000000000002,0.0,0.5961538461538461,0.2980769230769231
CCT,GradNorm,val_optimal,OoD Val,ind_val,adv_0.17500000000000002,ind_val,adv,0.17500000000000002,0.0,0.5961538461538461,0.2980769230769231
CCT,GradNorm,val_optimal,OoD Val,ind_val,adv_0.2,ind_val,adv,0.2,0.002403846153846154,0.5961538461538461,0.29927884615384615
CCT,GradNorm,val_optimal,OoD Val,ind_val,adv_0.225,ind_val,adv,0.225,0.048677884615384616,0.5961538461538461,0.32241586538461536
CCT,GradNorm,val_optimal,OoD Val,ind_val,adv_0.25,ind_val,adv,0.25,0.3858173076923077,0.5961538461538461,0.4909855769230769
CCT,GradNorm,val_optimal,OoD Val,ind_val,adv_0.275,ind_val,adv,0.275,0.5234375,0.5961538461538461,0.5597956730769231
CCT,GradNorm,val_optimal,OoD Val,ind_val,adv_0.30000000000000004,ind_val,adv,0.30000000000000004,0.4777644230769231,0.5961538461538461,0.5369591346153846
CCT,GradNorm,val_optimal,OoD Val,ind_val,adv_0.325,ind_val,adv,0.325,0.3996394230769231,0.5961538461538461,0.4978966346153846
CCT,GradNorm,val_optimal,OoD Val,ind_val,adv_0.35000000000000003,ind_val,adv,0.35000000000000003,0.2626201923076923,0.5961538461538461,0.4293870192307692
CCT,GradNorm,val_optimal,OoD Val,ind_val,adv_0.375,ind_val,adv,0.375,0.22355769230769232,0.5961538461538461,0.4098557692307692
CCT,GradNorm,val_optimal,OoD Val,ind_val,adv_0.4,ind_val,adv,0.4,0.21454326923076922,0.5961538461538461,0.4053485576923077
CCT,GradNorm,val_optimal,OoD Val,ind_val,adv_0.42500000000000004,ind_val,adv,0.42500000000000004,0.1875,0.5961538461538461,0.3918269230769231
CCT,GradNorm,val_optimal,OoD Val,ind_val,adv_0.45,ind_val,adv,0.45,0.15865384615384615,0.5961538461538461,0.37740384615384615
CCT,GradNorm,val_optimal,OoD Val,ind_val,adv_0.47500000000000003,ind_val,adv,0.47500000000000003,0.1388221153846154,0.5961538461538461,0.3674879807692308
CCT,GradNorm,val_optimal,OoD Val,ind_val,adv_0.5,ind_val,adv,0.5,0.10096153846153846,0.5961538461538461,0.3485576923076923
CCT,GradNorm,val_optimal,OoD Val,ind_val,OoD Val,ind_val,OoD Val,Organic,0.5693612774451098,0.5961538461538461,0.582757561799478
CCT,GradNorm,val_optimal,OoD Val,ind_val,OoD Test,ind_val,OoD Test,Organic,0.5798403193612774,0.5961538461538461,0.5879970827575618
CCT,GradNorm,val_optimal,OoD Val,ind_val,brightness_0.025,ind_val,brightness,0.025,0.40805288461538464,0.5961538461538461,0.5021033653846154
CCT,GradNorm,val_optimal,OoD Val,ind_val,brightness_0.05,ind_val,brightness,0.05,0.4104567307692308,0.5961538461538461,0.5033052884615384
