,feature,monotonic_pred_loss,monotonic_pred_loss_lower,monotonic_pred_loss_upper,Dataset,train_shift,feature_name,sample_size
71,-25.836324364247943,0.37400078463138803,-2.780260830524876,3.528262399787652,NICO,brightness,energy,1
72,-25.18359513716264,0.37867022106080983,-2.77563646225054,3.5329769043721595,NICO,brightness,energy,1
73,-24.53086591007733,0.3836528799824916,-2.770731756612977,3.53803751657796,NICO,brightness,energy,1
74,-23.87813668299203,0.3885543336687436,-2.7659370650119115,3.543045732349399,NICO,brightness,energy,1
75,-23.22540745590672,0.39298015439187634,-2.7616332740202427,3.5475935828039953,NICO,brightness,energy,1
76,-22.572678228821417,0.3965384232507434,-2.758190749666656,3.5512675961681426,NICO,brightness,energy,1
77,-21.919949001736107,0.399040897918299,-2.7557790900819716,3.55386088591857,NICO,brightness,energy,1
78,-21.267219774650805,0.4006501101594914,-2.7542323827841595,3.5555326031031425,NICO,brightness,energy,1
79,-20.614490547565495,0.40156327375740536,-2.753356117708868,3.556482665223679,NICO,brightness,energy,1
80,-19.961761320480193,0.40197760249512493,-2.7529588722697627,3.5569140772600125,NICO,brightness,energy,1
81,-19.309032093394883,0.4020903101557347,-2.7528508486150574,3.5570314689265268,NICO,brightness,energy,1
82,-18.656302866309574,0.40209837566626794,-2.7528426961735466,3.5570394475060825,NICO,brightness,energy,1
83,-18.00357363922427,0.40219255014007227,-2.752740328268686,3.557125428548831,NICO,brightness,energy,1
84,-17.35084441213896,0.4025568601012171,-2.752350986048428,3.557464706250862,NICO,brightness,energy,1
85,-16.69811518505366,0.4033749976791206,-2.7515152251914206,3.5582652205496617,NICO,brightness,energy,1
86,-16.04538595796835,0.40483065500320115,-2.7501602495248756,3.5598215595312777,NICO,brightness,energy,1
87,-15.392656730883047,0.4071075242028771,-2.7483798352307924,3.5625948836365464,NICO,brightness,energy,1
88,-14.739927503797738,0.4105571091523842,-2.74635335914329,3.5674675774480584,NICO,brightness,energy,1
89,-14.087198276712435,0.417627362781424,-2.742139130681495,3.577393856244343,NICO,brightness,energy,1
90,-13.434469049627126,0.43219131401644556,-2.7318578596469765,3.596240487679868,NICO,brightness,energy,1
91,-12.781739822541823,0.4581492249445898,-2.711042265145228,3.6273407150344075,NICO,brightness,energy,1
92,-12.129010595456513,0.4994013576529982,-2.6749208724458353,3.6737235877518315,NICO,brightness,energy,1
93,-11.476281368371211,0.5598479742288109,-2.619008838166194,3.7387047866238157,NICO,brightness,energy,1
94,-10.823552141285901,0.6429824001875521,-2.5405054562114735,3.8264702565865774,NICO,brightness,energy,1
95,-10.170822914200599,0.7495076871398587,-2.4416912244481996,3.940706598727917,NICO,brightness,energy,1
96,-9.51809368711529,0.878956499151474,-2.3270684823691585,4.0849814806721065,NICO,brightness,energy,1
97,-8.86536446002998,1.0308574961746375,-2.2010343294351693,4.262749321784444,NICO,brightness,energy,1
98,-8.212635232944677,1.2047393381615894,-2.0672042336928387,4.4766829100160175,NICO,brightness,energy,1
99,-7.559906005859375,1.4001306850645732,-1.9279462265091476,4.728207596638294,NICO,brightness,energy,1
100,-72.18009948730469,-0.16302059683266557,-15.279409746674121,14.953368553008788,NICO,saltpepper,energy,1
101,-71.49854519872954,-0.03807103868793157,-14.741454339590986,14.665312262215123,NICO,saltpepper,energy,1
102,-70.8169909101544,0.08588156399866487,-14.301689490237722,14.473452618235052,NICO,saltpepper,energy,1
103,-70.13543662157926,0.2055309203081789,-13.954092200835776,14.365154041452135,NICO,saltpepper,energy,1
104,-69.45388233300412,0.31757073932166596,-13.684677978830512,14.319819457473843,NICO,saltpepper,energy,1
105,-68.77232804442897,0.4186947301201815,-13.474642266807857,14.31203172704822,NICO,saltpepper,energy,1
106,-68.09077375585383,0.5056014204660538,-13.304716633190521,14.315919474122628,NICO,saltpepper,energy,1
107,-67.40921946727869,0.5763978208108519,-13.161315412091312,14.314111053713017,NICO,saltpepper,energy,1
108,-66.72766517870355,0.6325488485749798,-13.041532898120119,14.306630595270077,NICO,saltpepper,energy,1
109,-66.04611089012839,0.6760091419719586,-12.947774603943328,14.299792887887245,NICO,saltpepper,energy,1
110,-65.36455660155325,0.7087333392153075,-12.882101071451554,14.299567749882168,NICO,saltpepper,energy,1
111,-64.6830023129781,0.7326760785185479,-12.842917982084625,14.30827013912172,NICO,saltpepper,energy,1
112,-64.00144802440296,0.7498004850241119,-12.823954727903587,14.32355569795181,NICO,saltpepper,energy,1
113,-63.31989373582782,0.7625137938627966,-12.81528797982154,14.340315567547133,NICO,saltpepper,energy,1
114,-62.638339447252676,0.7738765765262369,-12.807632503874052,14.355385656926524,NICO,saltpepper,energy,1
115,-61.95678515867753,0.7870017012763507,-12.794632808759582,14.368636211312284,NICO,saltpepper,energy,1
