Dataset,feature_name,Threshold Method,OoD Val Fold,InD Val Fold,OoD Test Fold,InD Test Fold,Shift,Shift Intensity,tpr,tnr,ba
CCT,Softmax,val_optimal,OoD Val,ind_val,brightness_0.325,ind_val,brightness,0.325,0.25,0.8479567307692308,0.5489783653846154
CCT,Softmax,val_optimal,OoD Val,ind_val,brightness_0.35000000000000003,ind_val,brightness,0.35000000000000003,0.2512019230769231,0.8479567307692308,0.549579326923077
CCT,Softmax,val_optimal,OoD Val,ind_val,brightness_0.375,ind_val,brightness,0.375,0.25600961538461536,0.8479567307692308,0.5519831730769231
CCT,Softmax,val_optimal,OoD Val,ind_val,brightness_0.4,ind_val,brightness,0.4,0.25841346153846156,0.8479567307692308,0.5531850961538463
CCT,Softmax,val_optimal,OoD Val,ind_val,brightness_0.42500000000000004,ind_val,brightness,0.42500000000000004,0.2542067307692308,0.8479567307692308,0.5510817307692308
CCT,Softmax,val_optimal,OoD Val,ind_val,brightness_0.45,ind_val,brightness,0.45,0.25841346153846156,0.8479567307692308,0.5531850961538463
CCT,Softmax,val_optimal,OoD Val,ind_val,brightness_0.47500000000000003,ind_val,brightness,0.47500000000000003,0.2722355769230769,0.8479567307692308,0.5600961538461539
CCT,Softmax,val_optimal,OoD Val,ind_val,brightness_0.5,ind_val,brightness,0.5,0.2746394230769231,0.8479567307692308,0.561298076923077
CCT,Softmax,val_optimal,OoD Val,ind_val,OoD Val,ind_val,OoD Val,Organic,0.8342481703260146,0.8479567307692308,0.8411024505476228
CCT,Softmax,val_optimal,OoD Val,ind_val,OoD Test,ind_val,OoD Test,Organic,0.8433965402528277,0.8479567307692308,0.8456766355110292
CCT,Softmax,val_optimal,OoD Val,ind_val,multnoise_0.025,ind_val,multnoise,0.025,0.1328125,0.8479567307692308,0.4903846153846154
CCT,Softmax,val_optimal,OoD Val,ind_val,multnoise_0.05,ind_val,multnoise,0.05,0.13762019230769232,0.8479567307692308,0.49278846153846156
CCT,Softmax,val_optimal,OoD Val,ind_val,multnoise_0.07500000000000001,ind_val,multnoise,0.07500000000000001,0.15745192307692307,0.8479567307692308,0.502704326923077
CCT,Softmax,val_optimal,OoD Val,ind_val,multnoise_0.1,ind_val,multnoise,0.1,0.18810096153846154,0.8479567307692308,0.5180288461538461
CCT,Softmax,val_optimal,OoD Val,ind_val,multnoise_0.125,ind_val,multnoise,0.125,0.2686298076923077,0.8479567307692308,0.5582932692307693
CCT,Softmax,val_optimal,OoD Val,ind_val,multnoise_0.15000000000000002,ind_val,multnoise,0.15000000000000002,0.375,0.8479567307692308,0.6114783653846154
CCT,Softmax,val_optimal,OoD Val,ind_val,multnoise_0.17500000000000002,ind_val,multnoise,0.17500000000000002,0.4879807692307692,0.8479567307692308,0.66796875
CCT,Softmax,val_optimal,OoD Val,ind_val,multnoise_0.2,ind_val,multnoise,0.2,0.5594951923076923,0.8479567307692308,0.7037259615384616
CCT,Softmax,val_optimal,OoD Val,ind_val,multnoise_0.225,ind_val,multnoise,0.225,0.5979567307692307,0.8479567307692308,0.7229567307692308
CCT,Softmax,val_optimal,OoD Val,ind_val,multnoise_0.25,ind_val,multnoise,0.25,0.6274038461538461,0.8479567307692308,0.7376802884615385
CCT,Softmax,val_optimal,OoD Val,ind_val,multnoise_0.275,ind_val,multnoise,0.275,0.6009615384615384,0.8479567307692308,0.7244591346153846
CCT,Softmax,val_optimal,OoD Val,ind_val,multnoise_0.30000000000000004,ind_val,multnoise,0.30000000000000004,0.5817307692307693,0.8479567307692308,0.71484375
CCT,Softmax,val_optimal,OoD Val,ind_val,multnoise_0.325,ind_val,multnoise,0.325,0.5667067307692307,0.8479567307692308,0.7073317307692308
CCT,Softmax,val_optimal,OoD Val,ind_val,multnoise_0.35000000000000003,ind_val,multnoise,0.35000000000000003,0.5582932692307693,0.8479567307692308,0.703125
CCT,Softmax,val_optimal,OoD Val,ind_val,multnoise_0.375,ind_val,multnoise,0.375,0.5534855769230769,0.8479567307692308,0.7007211538461539
CCT,Softmax,val_optimal,OoD Val,ind_val,multnoise_0.4,ind_val,multnoise,0.4,0.5396634615384616,0.8479567307692308,0.6938100961538463
CCT,Softmax,val_optimal,OoD Val,ind_val,multnoise_0.42500000000000004,ind_val,multnoise,0.42500000000000004,0.5384615384615384,0.8479567307692308,0.6932091346153846
CCT,Softmax,val_optimal,OoD Val,ind_val,multnoise_0.45,ind_val,multnoise,0.45,0.5372596153846154,0.8479567307692308,0.6926081730769231
CCT,Softmax,val_optimal,OoD Val,ind_val,multnoise_0.47500000000000003,ind_val,multnoise,0.47500000000000003,0.5396634615384616,0.8479567307692308,0.6938100961538463
CCT,Softmax,val_optimal,OoD Val,ind_val,multnoise_0.5,ind_val,multnoise,0.5,0.5444711538461539,0.8479567307692308,0.6962139423076923
CCT,Softmax,val_optimal,OoD Val,ind_val,noise_0.025,ind_val,noise,0.025,0.13701923076923078,0.8479567307692308,0.49248798076923084
CCT,Softmax,val_optimal,OoD Val,ind_val,noise_0.05,ind_val,noise,0.05,0.18088942307692307,0.8479567307692308,0.514423076923077
CCT,Softmax,val_optimal,OoD Val,ind_val,noise_0.07500000000000001,ind_val,noise,0.07500000000000001,0.2854567307692308,0.8479567307692308,0.5667067307692308
CCT,Softmax,val_optimal,OoD Val,ind_val,noise_0.1,ind_val,noise,0.1,0.4230769230769231,0.8479567307692308,0.635516826923077
CCT,Softmax,val_optimal,OoD Val,ind_val,noise_0.125,ind_val,noise,0.125,0.5186298076923077,0.8479567307692308,0.6832932692307693
CCT,Softmax,val_optimal,OoD Val,ind_val,noise_0.15000000000000002,ind_val,noise,0.15000000000000002,0.4813701923076923,0.8479567307692308,0.6646634615384616
CCT,Softmax,val_optimal,OoD Val,ind_val,noise_0.17500000000000002,ind_val,noise,0.17500000000000002,0.41466346153846156,0.8479567307692308,0.6313100961538463
CCT,Softmax,val_optimal,OoD Val,ind_val,noise_0.2,ind_val,noise,0.2,0.39002403846153844,0.8479567307692308,0.6189903846153846
CCT,Softmax,val_optimal,OoD Val,ind_val,noise_0.225,ind_val,noise,0.225,0.36959134615384615,0.8479567307692308,0.6087740384615385
CCT,Softmax,val_optimal,OoD Val,ind_val,noise_0.25,ind_val,noise,0.25,0.39242788461538464,0.8479567307692308,0.6201923076923077
CCT,Softmax,val_optimal,OoD Val,ind_val,noise_0.275,ind_val,noise,0.275,0.44591346153846156,0.8479567307692308,0.6469350961538463
CCT,Softmax,val_optimal,OoD Val,ind_val,noise_0.30000000000000004,ind_val,noise,0.30000000000000004,0.46274038461538464,0.8479567307692308,0.6553485576923077
CCT,Softmax,val_optimal,OoD Val,ind_val,noise_0.325,ind_val,noise,0.325,0.5,0.8479567307692308,0.6739783653846154
CCT,Softmax,val_optimal,OoD Val,ind_val,noise_0.35000000000000003,ind_val,noise,0.35000000000000003,0.5396634615384616,0.8479567307692308,0.6938100961538463
CCT,Softmax,val_optimal,OoD Val,ind_val,noise_0.375,ind_val,noise,0.375,0.5703125,0.8479567307692308,0.7091346153846154
CCT,Softmax,val_optimal,OoD Val,ind_val,noise_0.4,ind_val,noise,0.4,0.5931490384615384,0.8479567307692308,0.7205528846153846
CCT,Softmax,val_optimal,OoD Val,ind_val,noise_0.42500000000000004,ind_val,noise,0.42500000000000004,0.6027644230769231,0.8479567307692308,0.725360576923077
CCT,Softmax,val_optimal,OoD Val,ind_val,noise_0.45,ind_val,noise,0.45,0.6177884615384616,0.8479567307692308,0.7328725961538463
CCT,Softmax,val_optimal,OoD Val,ind_val,noise_0.47500000000000003,ind_val,noise,0.47500000000000003,0.6358173076923077,0.8479567307692308,0.7418870192307693
CCT,Softmax,val_optimal,OoD Val,ind_val,noise_0.5,ind_val,noise,0.5,0.6658653846153846,0.8479567307692308,0.7569110576923077
CCT,Softmax,val_optimal,OoD Val,ind_val,saltpepper_0.025,ind_val,saltpepper,0.025,0.8900240384615384,0.8479567307692308,0.8689903846153846
CCT,Softmax,val_optimal,OoD Val,ind_val,saltpepper_0.05,ind_val,saltpepper,0.05,0.8816105769230769,0.8479567307692308,0.8647836538461539
CCT,Softmax,val_optimal,OoD Val,ind_val,saltpepper_0.07500000000000001,ind_val,saltpepper,0.07500000000000001,0.8864182692307693,0.8479567307692308,0.8671875
CCT,Softmax,val_optimal,OoD Val,ind_val,saltpepper_0.1,ind_val,saltpepper,0.1,0.8834134615384616,0.8479567307692308,0.8656850961538463
CCT,Softmax,val_optimal,OoD Val,ind_val,saltpepper_0.125,ind_val,saltpepper,0.125,0.8876201923076923,0.8479567307692308,0.8677884615384616
CCT,Softmax,val_optimal,OoD Val,ind_val,saltpepper_0.15000000000000002,ind_val,saltpepper,0.15000000000000002,0.8647836538461539,0.8479567307692308,0.8563701923076923
CCT,Softmax,val_optimal,OoD Val,ind_val,saltpepper_0.17500000000000002,ind_val,saltpepper,0.17500000000000002,0.8647836538461539,0.8479567307692308,0.8563701923076923
CCT,Softmax,val_optimal,OoD Val,ind_val,saltpepper_0.2,ind_val,saltpepper,0.2,0.8443509615384616,0.8479567307692308,0.8461538461538463
CCT,Softmax,val_optimal,OoD Val,ind_val,saltpepper_0.225,ind_val,saltpepper,0.225,0.8431490384615384,0.8479567307692308,0.8455528846153846
CCT,Softmax,val_optimal,OoD Val,ind_val,saltpepper_0.25,ind_val,saltpepper,0.25,0.8233173076923077,0.8479567307692308,0.8356370192307693
