Dataset,feature_name,Threshold Method,OoD==f(x)=y,Performance Calibrated,OoD Val Fold,OoD Test Fold,bias,k,tpr,tnr,ba
NICO,kNN,val_optimal,True,True,water,water,Class,-1,0.9686323713927227,0.16839916839916835,0.5685157698959455
NICO,kNN,val_optimal,True,True,water,water,Synthetic,-1,0.8453815261044176,0.35511363636363635,0.600247581234027
NICO,kNN,val_optimal,True,True,water,water,Temporal,-1,0.9594594594594594,0.18681318681318682,0.5731363231363231
NICO,kNN,val_optimal,True,True,water,rock,Unbiased,-1,0.9973474801061007,0.28624535315985133,0.641796416632976
NICO,kNN,val_optimal,True,True,water,rock,Class,-1,0.9525179856115108,0.18544600938967137,0.5689819975005911
NICO,kNN,val_optimal,True,True,water,rock,Synthetic,-1,0.9052863436123348,0.46875,0.6870181718061674
NICO,kNN,val_optimal,True,True,water,rock,Temporal,-1,0.9532163742690059,0.32421875,0.6387175621345029
NICO,kNN,val_optimal,True,True,water,grass,Unbiased,-1,0.986046511627907,0.17226890756302526,0.5791577095954661
NICO,kNN,val_optimal,True,True,water,grass,Class,-1,0.9674157303370786,0.16157205240174677,0.5644938913694126
NICO,kNN,val_optimal,True,True,water,grass,Synthetic,-1,0.8471337579617835,0.3392857142857143,0.5932097361237489
NICO,kNN,val_optimal,True,True,water,grass,Temporal,-1,0.9747899159663865,0.20959595959595956,0.592192937781173
NICO,kNN,val_optimal,True,True,water,autumn,Unbiased,-1,0.9964912280701754,0.1582150101419878,0.5773531191060817
NICO,kNN,val_optimal,True,True,water,autumn,Class,-1,0.9416243654822335,0.21066666666666667,0.5761455160744501
NICO,kNN,val_optimal,True,True,water,autumn,Synthetic,-1,0.8353765323992994,0.46464646464646464,0.650011498522882
NICO,kNN,val_optimal,True,True,water,autumn,Temporal,-1,0.973170731707317,0.18558951965065507,0.5793801256789861
NICO,kNN,val_optimal,True,True,rock,outdoor,Unbiased,-1,0.9844444444444445,0.25705329153605017,0.6207488679902473
NICO,kNN,val_optimal,True,True,rock,outdoor,Class,-1,0.973170731707317,0.2966101694915254,0.6348904505994213
NICO,kNN,val_optimal,True,True,rock,outdoor,Synthetic,-1,0.8603773584905661,0.3312883435582822,0.5958328510244242
NICO,kNN,val_optimal,True,True,rock,outdoor,Temporal,-1,0.9786096256684492,0.2867647058823529,0.6326871657754011
NICO,kNN,val_optimal,True,True,rock,water,Unbiased,-1,0.9915254237288136,0.18584070796460173,0.5886830658467077
NICO,kNN,val_optimal,True,True,rock,water,Class,-1,0.9673776662484316,0.1704781704781705,0.568927918363301
NICO,kNN,val_optimal,True,True,rock,water,Synthetic,-1,0.8453815261044176,0.35511363636363635,0.600247581234027
NICO,kNN,val_optimal,True,True,rock,water,Temporal,-1,0.9579579579579579,0.18681318681318682,0.5723855723855724
NICO,kNN,val_optimal,True,True,rock,rock,Unbiased,-1,0.9973474801061007,0.28624535315985133,0.641796416632976
NICO,kNN,val_optimal,True,True,rock,rock,Class,-1,0.9496402877697842,0.187793427230047,0.5687168574999155
NICO,kNN,val_optimal,True,True,rock,rock,Synthetic,-1,0.9030837004405287,0.46875,0.6859168502202644
NICO,kNN,val_optimal,True,True,rock,rock,Temporal,-1,0.9512670565302144,0.32421875,0.6377429032651072
NICO,kNN,val_optimal,True,True,rock,grass,Unbiased,-1,0.986046511627907,0.17226890756302526,0.5791577095954661
NICO,kNN,val_optimal,True,True,rock,grass,Class,-1,0.9651685393258427,0.16375545851528384,0.5644619989205633
NICO,kNN,val_optimal,True,True,rock,grass,Synthetic,-1,0.8450106157112527,0.3392857142857143,0.5921481649984834
NICO,kNN,val_optimal,True,True,rock,grass,Temporal,-1,0.9737394957983193,0.20959595959595956,0.5916677276971394
NICO,kNN,val_optimal,True,True,rock,autumn,Unbiased,-1,0.9964912280701754,0.1602434077079108,0.5783673178890432
