Dataset,feature_name,OoD Val Fold,OoD Test Fold,tpr,tnr,ba,bias,k,batch_size,OOD==f(x)==y
CCT,Typicality,OoD Test,OoD Val,0.6657789613848203,0.5096153846153846,0.5876971730001024,Synthetic,-1,8,False
CCT,Typicality,OoD Test,OoD Val,0.6657789613848203,0.6442307692307692,0.6550048653077947,Temporal,-1,8,False
CCT,Typicality,OoD Test,OoD Test,0.6707723035952063,0.6923076923076923,0.6815399979514494,Unbiased,-1,8,False
CCT,Typicality,OoD Test,OoD Test,0.6707723035952063,0.5769230769230769,0.6238476902591417,Class,-1,8,False
CCT,Typicality,OoD Test,OoD Test,0.6707723035952063,0.5096153846153846,0.5901938441052954,Synthetic,-1,8,False
CCT,Typicality,OoD Test,OoD Test,0.6707723035952063,0.6442307692307692,0.6575015364129877,Temporal,-1,8,False
CCT,Typicality,OoD Val,OoD Val,0.39314247669773633,0.5576923076923077,0.475417392195022,Unbiased,0,8,False
CCT,Typicality,OoD Val,OoD Val,0.39314247669773633,0.5865384615384616,0.489840469118099,Class,0,8,False
CCT,Typicality,OoD Val,OoD Val,0.39314247669773633,0.5673076923076923,0.4802250845027143,Synthetic,0,8,False
CCT,Typicality,OoD Val,OoD Val,0.39314247669773633,1.0,0.6965712383488681,Temporal,0,8,False
CCT,Typicality,OoD Val,OoD Test,0.3914780292942743,0.5576923076923077,0.474585168493291,Unbiased,0,8,False
CCT,Typicality,OoD Val,OoD Test,0.3914780292942743,0.5865384615384616,0.4890082454163679,Class,0,8,False
CCT,Typicality,OoD Val,OoD Test,0.3914780292942743,0.5673076923076923,0.4793928608009833,Synthetic,0,8,False
CCT,Typicality,OoD Val,OoD Test,0.3914780292942743,1.0,0.6957390146471372,Temporal,0,8,False
CCT,Typicality,OoD Test,OoD Val,0.39314247669773633,0.5576923076923077,0.475417392195022,Unbiased,0,8,False
CCT,Typicality,OoD Test,OoD Val,0.39314247669773633,0.5865384615384616,0.489840469118099,Class,0,8,False
CCT,Typicality,OoD Test,OoD Val,0.39314247669773633,0.5673076923076923,0.4802250845027143,Synthetic,0,8,False
