Dataset,feature_name,Threshold Method,OoD==f(x)=y,Performance Calibrated,OoD Val Fold,OoD Test Fold,tpr,tnr,ba
NICO,kNN,ind_span,True,False,water,water,1.0,0.98,0.99
NICO,kNN,logistic,True,False,autumn,autumn,1.0,1.0,1.0
NICO,kNN,logistic,True,False,autumn,brightness,0.0,1.0,0.5
NICO,kNN,logistic,True,False,autumn,contrast,0.0,1.0,0.5
NICO,kNN,logistic,True,False,autumn,grass,1.0,1.0,1.0
NICO,kNN,logistic,True,False,autumn,hue,1.0,1.0,1.0
NICO,kNN,logistic,True,False,autumn,multnoise,1.0,1.0,1.0
NICO,kNN,logistic,True,False,autumn,noise,1.0,1.0,1.0
NICO,kNN,logistic,True,False,autumn,outdoor,1.0,1.0,1.0
NICO,kNN,logistic,True,False,autumn,rock,1.0,1.0,1.0
NICO,kNN,logistic,True,False,autumn,saltpepper,1.0,1.0,1.0
NICO,kNN,logistic,True,False,autumn,smear,1.0,1.0,1.0
NICO,kNN,logistic,True,False,autumn,water,1.0,1.0,1.0
NICO,kNN,logistic,True,False,grass,autumn,1.0,1.0,1.0
NICO,kNN,logistic,True,False,grass,brightness,0.0,1.0,0.5
NICO,kNN,logistic,True,False,grass,contrast,0.0,1.0,0.5
NICO,kNN,logistic,True,False,grass,grass,1.0,1.0,1.0
NICO,kNN,logistic,True,False,grass,hue,1.0,1.0,1.0
NICO,kNN,logistic,True,False,grass,multnoise,1.0,1.0,1.0
NICO,kNN,logistic,True,False,grass,noise,1.0,1.0,1.0
NICO,kNN,logistic,True,False,grass,outdoor,1.0,1.0,1.0
NICO,kNN,logistic,True,False,grass,rock,1.0,1.0,1.0
NICO,kNN,logistic,True,False,grass,saltpepper,1.0,1.0,1.0
NICO,kNN,logistic,True,False,grass,smear,1.0,1.0,1.0
NICO,kNN,logistic,True,False,grass,water,1.0,1.0,1.0
NICO,kNN,logistic,True,False,outdoor,autumn,1.0,1.0,1.0
NICO,kNN,logistic,True,False,outdoor,brightness,0.0,1.0,0.5
NICO,kNN,logistic,True,False,outdoor,contrast,0.0,1.0,0.5
NICO,kNN,logistic,True,False,outdoor,grass,1.0,1.0,1.0
NICO,kNN,logistic,True,False,outdoor,hue,1.0,1.0,1.0
NICO,kNN,logistic,True,False,outdoor,multnoise,1.0,1.0,1.0
NICO,kNN,logistic,True,False,outdoor,noise,1.0,1.0,1.0
NICO,kNN,logistic,True,False,outdoor,outdoor,1.0,1.0,1.0
NICO,kNN,logistic,True,False,outdoor,rock,1.0,1.0,1.0
NICO,kNN,logistic,True,False,outdoor,saltpepper,1.0,1.0,1.0
NICO,kNN,logistic,True,False,outdoor,smear,1.0,1.0,1.0
NICO,kNN,logistic,True,False,outdoor,water,1.0,1.0,1.0
NICO,kNN,logistic,True,False,rock,autumn,1.0,1.0,1.0
NICO,kNN,logistic,True,False,rock,brightness,0.0,1.0,0.5
NICO,kNN,logistic,True,False,rock,contrast,0.0,0.9949748743718593,0.49748743718592964
NICO,kNN,logistic,True,False,rock,grass,1.0,1.0,1.0
NICO,kNN,logistic,True,False,rock,hue,1.0,1.0,1.0
NICO,kNN,logistic,True,False,rock,multnoise,1.0,1.0,1.0
NICO,kNN,logistic,True,False,rock,noise,1.0,1.0,1.0
NICO,kNN,logistic,True,False,rock,outdoor,1.0,1.0,1.0
NICO,kNN,logistic,True,False,rock,rock,1.0,1.0,1.0
NICO,kNN,logistic,True,False,rock,saltpepper,1.0,1.0,1.0
NICO,kNN,logistic,True,False,rock,smear,1.0,1.0,1.0
NICO,kNN,logistic,True,False,rock,water,1.0,1.0,1.0
NICO,kNN,logistic,True,False,water,autumn,1.0,1.0,1.0
NICO,kNN,logistic,True,False,water,brightness,0.0,1.0,0.5
NICO,kNN,logistic,True,False,water,contrast,0.0,1.0,0.5
NICO,kNN,logistic,True,False,water,grass,1.0,1.0,1.0
NICO,kNN,logistic,True,False,water,hue,1.0,1.0,1.0
NICO,kNN,logistic,True,False,water,multnoise,1.0,1.0,1.0
NICO,kNN,logistic,True,False,water,noise,1.0,1.0,1.0
NICO,kNN,logistic,True,False,water,outdoor,1.0,1.0,1.0
NICO,kNN,logistic,True,False,water,rock,1.0,1.0,1.0
NICO,kNN,logistic,True,False,water,saltpepper,1.0,1.0,1.0
NICO,kNN,logistic,True,False,water,smear,1.0,1.0,1.0
NICO,kNN,logistic,True,False,water,water,1.0,1.0,1.0
NICO,kNN,val_optimal,False,False,autumn,autumn,1.0,1.0,1.0
NICO,kNN,val_optimal,False,False,autumn,brightness,0.0,1.0,0.5
NICO,kNN,val_optimal,False,False,autumn,contrast,0.0,1.0,0.5
NICO,kNN,val_optimal,False,False,autumn,grass,1.0,1.0,1.0
NICO,kNN,val_optimal,False,False,autumn,hue,1.0,1.0,1.0
NICO,kNN,val_optimal,False,False,autumn,multnoise,1.0,1.0,1.0
