Dataset,Model,feature_name,fold,shift_type,category,observed_gap,predicted_gap,MAE,Method
CCT,vit,kNN,hue_0.25,hue,Synthetic,-0.019831730769230838,-0.05232383658829459,0.032492105819063755,Ours
CCT,vit,kNN,hue_0.275,hue,Synthetic,-0.016826923076923017,-0.033144334050464436,0.01631741097354142,Ours
CCT,vit,kNN,hue_0.30000000000000004,hue,Synthetic,-0.013822115384615197,-0.04221727237674336,0.028395156992128162,Ours
CCT,vit,kNN,hue_0.325,hue,Synthetic,-0.0234375,-0.02659803677707334,0.0031605367770733417,Ours
CCT,vit,kNN,hue_0.35000000000000003,hue,Synthetic,-0.012019230769230838,-0.020740823427197033,0.008721592657966196,Ours
CCT,vit,kNN,hue_0.375,hue,Synthetic,-0.009014423076923017,-0.014194526153805911,0.005180103076882894,Ours
CCT,vit,kNN,hue_0.4,hue,Synthetic,-0.018028846153846034,-0.016032083283178858,0.0019967628706671764,Ours
CCT,vit,kNN,hue_0.42500000000000004,hue,Synthetic,-0.013221153846153744,-0.01741025113020858,0.004189097284054838,Ours
CCT,vit,kNN,hue_0.45,hue,Synthetic,-0.016225961538461453,-0.029584067112304394,0.01335810557384294,Ours
CCT,vit,kNN,hue_0.47500000000000003,hue,Synthetic,-0.01442307692307676,-0.025794105532972664,0.011371028609895903,Ours
CCT,vit,kNN,hue_0.5,hue,Synthetic,-0.021634615384615197,-0.0336037233328077,0.011969107948192503,Ours
CCT,vit,kNN,jpeg_0.025,jpeg,Synthetic,0.030649038461538547,0.06648613298914727,0.03583709452760872,Ours
CCT,vit,kNN,jpeg_0.05,jpeg,Synthetic,0.030048076923076983,0.06660267112060617,0.03655459419752918,Ours
CCT,vit,kNN,jpeg_0.07500000000000001,jpeg,Synthetic,0.02944711538461564,0.06625305672622943,0.03680594134161379,Ours
CCT,vit,kNN,jpeg_0.1,jpeg,Synthetic,0.030649038461538547,0.06578690420039375,0.035137865738855203,Ours
CCT,vit,kNN,jpeg_0.125,jpeg,Synthetic,0.02944711538461564,0.06613651859477052,0.036689403210154875,Ours
CCT,vit,kNN,jpeg_0.15000000000000002,jpeg,Synthetic,0.028846153846153966,0.06613651859477049,0.03729036474861652,Ours
CCT,vit,kNN,jpeg_0.17500000000000002,jpeg,Synthetic,0.0282451923076924,0.0666026711206062,0.03835747881291379,Ours
CCT,vit,kNN,jpeg_0.2,jpeg,Synthetic,0.030048076923076983,0.06683574738352405,0.036787670460447064,Ours
CCT,vit,kNN,jpeg_0.225,jpeg,Synthetic,0.028846153846153966,0.06567036606893481,0.036824212222780844,Ours
CCT,vit,kNN,jpeg_0.25,jpeg,Synthetic,0.028846153846153966,0.06567036606893481,0.036824212222780844,Ours
CCT,vit,kNN,jpeg_0.275,jpeg,Synthetic,0.02944711538461564,0.06555382793747588,0.03610671255286024,Ours
CCT,vit,kNN,jpeg_0.30000000000000004,jpeg,Synthetic,0.028846153846153966,0.06485459914872238,0.036008445302568415,Ours
CCT,vit,kNN,jpeg_0.325,jpeg,Synthetic,0.027043269230769162,0.0646215228858045,0.03757825365503534,Ours
CCT,vit,kNN,jpeg_0.35000000000000003,jpeg,Synthetic,0.027644230769230838,0.06485459914872235,0.037210368379491515,Ours
CCT,vit,kNN,jpeg_0.375,jpeg,Synthetic,0.028846153846153966,0.06532075167455807,0.03647459782840411,Ours
CCT,vit,kNN,jpeg_0.4,jpeg,Synthetic,0.028846153846153966,0.06543728980601697,0.036591135959863005,Ours
CCT,vit,kNN,jpeg_0.42500000000000004,jpeg,Synthetic,0.0282451923076924,0.06485459914872238,0.03660940684102998,Ours
CCT,vit,kNN,jpeg_0.45,jpeg,Synthetic,0.0282451923076924,0.06532075167455806,0.03707555936686566,Ours
CCT,vit,kNN,jpeg_0.47500000000000003,jpeg,Synthetic,0.028846153846153966,0.06625305672622941,0.03740690288007545,Ours
CCT,vit,kNN,jpeg_0.5,jpeg,Synthetic,0.027043269230769162,0.06555382793747588,0.03851055870670672,Ours
CCT,vit,kNN,multnoise_0.025,multnoise,Synthetic,0.028846153846153966,0.05818892883087492,0.029342774984720953,Ours
CCT,vit,kNN,multnoise_0.05,multnoise,Synthetic,0.025240384615384803,0.055075196511371,0.029834811895986198,Ours
CCT,vit,kNN,multnoise_0.07500000000000001,multnoise,Synthetic,0.019230769230769162,0.04812917826016997,0.028898409029400808,Ours
CCT,vit,kNN,multnoise_0.1,multnoise,Synthetic,0.014423076923076983,0.011243426167585127,0.0031796507554918557,Ours
CCT,vit,kNN,multnoise_0.125,multnoise,Synthetic,-0.012019230769230838,-0.09474323163091347,0.08272400086168263,Ours
CCT,vit,kNN,multnoise_0.15000000000000002,multnoise,Synthetic,-0.07091346153846145,-0.24228624000125284,0.1713727784627914,Ours
CCT,vit,kNN,multnoise_0.17500000000000002,multnoise,Synthetic,-0.17007211538461542,-0.36324276472044337,0.19317064933582795,Ours
CCT,vit,kNN,multnoise_0.2,multnoise,Synthetic,-0.27223557692307687,-0.4687503867774797,0.19651480985440284,Ours
CCT,vit,kNN,multnoise_0.225,multnoise,Synthetic,-0.3485576923076922,-0.5457553822175188,0.19719768990982667,Ours
CCT,vit,kNN,multnoise_0.25,multnoise,Synthetic,-0.4044471153846153,-0.5952158225234848,0.1907687071388695,Ours
CCT,vit,kNN,multnoise_0.275,multnoise,Synthetic,-0.4567307692307692,-0.6262333867831584,0.1695026175523892,Ours
CCT,vit,kNN,multnoise_0.30000000000000004,multnoise,Synthetic,-0.5054086538461537,-0.6522210757574797,0.14681242191132593,Ours
CCT,vit,kNN,multnoise_0.325,multnoise,Synthetic,-0.540264423076923,-0.6661131122598817,0.12584868918295866,Ours
CCT,vit,kNN,multnoise_0.35000000000000003,multnoise,Synthetic,-0.5721153846153846,-0.6780890057964353,0.10597362118105069,Ours
CCT,vit,kNN,multnoise_0.375,multnoise,Synthetic,-0.596153846153846,-0.6877894795610435,0.09163563340719749,Ours
CCT,vit,kNN,multnoise_0.4,multnoise,Synthetic,-0.6171874999999999,-0.6913822476220095,0.07419474762200962,Ours
CCT,vit,kNN,multnoise_0.42500000000000004,multnoise,Synthetic,-0.6406249999999999,-0.6944959799415135,0.053870979941513575,Ours
CCT,vit,kNN,multnoise_0.45,multnoise,Synthetic,-0.658653846153846,-0.6976097122610174,0.03895586610717139,Ours
CCT,vit,kNN,multnoise_0.47500000000000003,multnoise,Synthetic,-0.6688701923076923,-0.6992863373561349,0.03041614504844259,Ours
CCT,vit,kNN,multnoise_0.5,multnoise,Synthetic,-0.6736778846153846,-0.7014419981927146,0.027764113577329996,Ours
CCT,vit,kNN,noise_0.025,noise,Synthetic,0.027043269230769162,0.05327361373208078,0.02623034450131162,Ours
CCT,vit,kNN,noise_0.05,noise,Synthetic,0.015625,0.025651297111715265,0.010026297111715265,Ours
CCT,vit,kNN,noise_0.07500000000000001,noise,Synthetic,-0.04747596153846145,-0.1009603827440825,0.05348442120562105,Ours
CCT,vit,kNN,noise_0.1,noise,Synthetic,-0.15264423076923062,-0.2575620063591342,0.10491777558990356,Ours
CCT,vit,kNN,noise_0.125,noise,Synthetic,-0.3155048076923076,-0.37211006222154785,0.056605254529240256,Ours
CCT,vit,kNN,noise_0.15000000000000002,noise,Synthetic,-0.42367788461538447,-0.445055526929207,0.021377642313822554,Ours
CCT,vit,kNN,noise_0.17500000000000002,noise,Synthetic,-0.48858173076923067,-0.49635411493845716,0.007772384169226487,Ours
CCT,vit,kNN,noise_0.2,noise,Synthetic,-0.5342548076923076,-0.5526134455244262,0.01835863783211855,Ours
CCT,vit,kNN,noise_0.225,noise,Synthetic,-0.5679086538461537,-0.5936523159318261,0.02574366208567236,Ours
CCT,vit,kNN,noise_0.25,noise,Synthetic,-0.6051682692307692,-0.6178923080680653,0.012724038837296114,Ours
CCT,vit,kNN,noise_0.275,noise,Synthetic,-0.635216346153846,-0.6324363033498087,0.0027800428040373193,Ours
CCT,vit,kNN,noise_0.30000000000000004,noise,Synthetic,-0.665264423076923,-0.6393136964675324,0.025950726609390573,Ours
CCT,vit,kNN,noise_0.325,noise,Synthetic,-0.6941105769230769,-0.6437107182968967,0.05039985862618013,Ours
CCT,vit,kNN,noise_0.35000000000000003,noise,Synthetic,-0.7127403846153846,-0.6455146246884309,0.06722575992695368,Ours
CCT,vit,kNN,noise_0.375,noise,Synthetic,-0.7301682692307692,-0.6476567635283775,0.08251150570239163,Ours
CCT,vit,kNN,noise_0.4,noise,Synthetic,-0.7421875,-0.6484459725746736,0.09374152742532638,Ours
CCT,vit,kNN,noise_0.42500000000000004,noise,Synthetic,-0.7475961538461537,-0.6520537853577418,0.09554236848841191,Ours
CCT,vit,kNN,noise_0.45,noise,Synthetic,-0.75,-0.6535194593008633,0.0964805406991367,Ours
CCT,vit,kNN,noise_0.47500000000000003,noise,Synthetic,-0.7578125,-0.6552106215429264,0.10260187845707358,Ours
CCT,vit,kNN,noise_0.5,noise,Synthetic,-0.7632211538461537,-0.6567890396355187,0.10643211421063503,Ours
