Dataset,Method,Model,feature_name,shift,observed_gap,predicted_gap,residual,abs_error
OfficeHome,Ours,resnet,Softmax,Brightness,-0.0555555555555555,-0.0765205974435664,-0.020965041888010905,0.020965041888010905
OfficeHome,Ours,resnet,Softmax,Brightness,-0.0578703703703703,-0.0765205974435664,-0.0186502270731961,0.0186502270731961
OfficeHome,Ours,resnet,Softmax,Brightness,-0.0694444444444444,-0.0765205974435664,-0.007076152999121996,0.007076152999121996
OfficeHome,Ours,resnet,Softmax,Brightness,-0.074074074074074,-0.0765205974435664,-0.002446523369492401,0.002446523369492401
OfficeHome,Ours,resnet,Softmax,Brightness,-0.0671296296296296,-0.0765205974435664,-0.009390967813936807,0.009390967813936807
OfficeHome,Ours,resnet,Softmax,Brightness,-0.0717592592592592,-0.0765205974435664,-0.004761338184307198,0.004761338184307198
OfficeHome,Ours,resnet,Softmax,Brightness,-0.0578703703703703,-0.0765205974435664,-0.0186502270731961,0.0186502270731961
OfficeHome,Ours,resnet,Softmax,Brightness,-0.0439814814814814,-0.0765205974435664,-0.032539115962085,0.032539115962085
OfficeHome,Ours,resnet,Softmax,Brightness,-0.0393518518518518,-0.0765205974435664,-0.037168745591714604,0.037168745591714604
OfficeHome,Ours,resnet,Softmax,Brightness,-0.0439814814814814,-0.0765205974435664,-0.032539115962085,0.032539115962085
OfficeHome,Ours,resnet,Softmax,Brightness,-0.0324074074074073,-0.0765205974435664,-0.0441131900361591,0.0441131900361591
OfficeHome,Ours,resnet,Softmax,Brightness,-0.0300925925925925,-0.0765205974435664,-0.0464280048509739,0.0464280048509739
OfficeHome,Ours,resnet,Softmax,Brightness,-0.0439814814814814,-0.216988751804162,-0.1730072703226806,0.1730072703226806
OfficeHome,Ours,resnet,Softmax,Brightness,-0.0347222222222221,-0.216988751804162,-0.1822665295819399,0.1822665295819399
OfficeHome,Ours,resnet,Softmax,Brightness,-0.0370370370370369,-0.216988751804162,-0.1799517147671251,0.1799517147671251
OfficeHome,Ours,resnet,Softmax,Brightness,-0.0462962962962962,-0.216988751804162,-0.1706924555078658,0.1706924555078658
OfficeHome,Ours,resnet,Softmax,Brightness,-0.0509259259259258,-0.216988751804162,-0.1660628258782362,0.1660628258782362
OfficeHome,Ours,resnet,Softmax,Brightness,-0.048611111111111,-0.216988751804162,-0.168377640693051,0.168377640693051
OfficeHome,Ours,resnet,Softmax,Brightness,-0.0462962962962962,-0.216988751804162,-0.1706924555078658,0.1706924555078658
OfficeHome,Ours,resnet,Softmax,Brightness,-0.0462962962962962,-0.216988751804162,-0.1706924555078658,0.1706924555078658
OfficeHome,Ours,resnet,Softmax,Brightness,-0.0555555555555555,-0.216988751804162,-0.1614331962486065,0.1614331962486065
OfficeHome,Ours,resnet,Softmax,Brightness,-0.0578703703703703,-0.216988751804162,-0.1591183814337917,0.1591183814337917
OfficeHome,Ours,resnet,Softmax,Brightness,-0.0694444444444444,-0.216988751804162,-0.14754430735971757,0.14754430735971757
OfficeHome,Ours,resnet,Softmax,Brightness,-0.074074074074074,-0.216988751804162,-0.14291467773008798,0.14291467773008798
OfficeHome,Ours,resnet,Softmax,Brightness,-0.0671296296296296,-0.216988751804162,-0.1498591221745324,0.1498591221745324
OfficeHome,Ours,resnet,Softmax,Brightness,-0.0717592592592592,-0.216988751804162,-0.1452294925449028,0.1452294925449028
OfficeHome,Ours,resnet,Softmax,Brightness,-0.0578703703703703,-0.216988751804162,-0.1591183814337917,0.1591183814337917
OfficeHome,Ours,resnet,Softmax,Brightness,-0.0439814814814814,-0.216988751804162,-0.1730072703226806,0.1730072703226806
OfficeHome,Ours,resnet,Softmax,Brightness,-0.0393518518518518,-0.216988751804162,-0.1776368999523102,0.1776368999523102
OfficeHome,Ours,resnet,Softmax,Brightness,-0.0439814814814814,-0.216988751804162,-0.1730072703226806,0.1730072703226806
OfficeHome,Ours,resnet,Softmax,Brightness,-0.0324074074074073,-0.216988751804162,-0.1845813443967547,0.1845813443967547
OfficeHome,Ours,resnet,Softmax,Brightness,-0.0300925925925925,-0.216988751804162,-0.1868961592115695,0.1868961592115695
OfficeHome,Ours,resnet,Softmax,Contrast,-0.0393518518518518,-0.09132377290829,-0.0519719210564382,0.0519719210564382
OfficeHome,Ours,resnet,Softmax,Contrast,-0.0474537037037036,-0.09132377290829,-0.043870069204586394,0.043870069204586394
OfficeHome,Ours,resnet,Softmax,Contrast,-0.0567129629629629,-0.09132377290829,-0.034610809945327094,0.034610809945327094
OfficeHome,Ours,resnet,Softmax,Contrast,-0.0648148148148147,-0.09132377290829,-0.026508958093475296,0.026508958093475296
OfficeHome,Ours,resnet,Softmax,Contrast,-0.0648148148148147,-0.09132377290829,-0.026508958093475296,0.026508958093475296
OfficeHome,Ours,resnet,Softmax,Contrast,-0.0729166666666666,-0.09132377290829,-0.018407106241623394,0.018407106241623394
OfficeHome,Ours,resnet,Softmax,Contrast,-0.0787037037037036,-0.09132377290829,-0.012620069204586401,0.012620069204586401
OfficeHome,Ours,resnet,Softmax,Contrast,-0.0856481481481481,-0.09132377290829,-0.005675624760141898,0.005675624760141898
OfficeHome,Ours,resnet,Softmax,Contrast,-0.0972222222222222,-0.09132377290829,0.0058984493139322,0.0058984493139322
OfficeHome,Ours,resnet,Softmax,Contrast,-0.1030092592592592,-0.09132377290829,0.011685486350969207,0.011685486350969207
OfficeHome,Ours,resnet,Softmax,Contrast,-0.1087962962962962,-0.09132377290829,0.0174725233880062,0.0174725233880062
OfficeHome,Ours,resnet,Softmax,Contrast,-0.1180555555555555,-0.09132377290829,0.0267317826472655,0.0267317826472655
OfficeHome,Ours,resnet,Softmax,Contrast,-0.130787037037037,-0.09132377290829,0.03946326412874701,0.03946326412874701
OfficeHome,Ours,resnet,Softmax,Contrast,-0.1284722222222222,-0.09132377290829,0.037148449313932214,0.037148449313932214
OfficeHome,Ours,resnet,Softmax,Contrast,-0.1134259259259259,-0.09132377290829,0.022102153017635906,0.022102153017635906
OfficeHome,Ours,resnet,Softmax,Contrast,-0.1122685185185185,-0.09132377290829,0.020944745610228507,0.020944745610228507
OfficeHome,Ours,resnet,Softmax,Contrast,-0.1076388888888888,-0.09132377290829,0.0163151159805988,0.0163151159805988
OfficeHome,Ours,resnet,Softmax,Contrast,-0.105324074074074,-0.09132377290829,0.014000301165784004,0.014000301165784004
OfficeHome,Ours,resnet,Softmax,Contrast,-0.1030092592592592,-0.09132377290829,0.011685486350969207,0.011685486350969207
OfficeHome,Ours,resnet,Softmax,Contrast,-0.1006944444444444,-0.09132377290829,0.00937067153615441,0.00937067153615441
OfficeHome,Ours,resnet,Softmax,Contrast,-0.0393518518518518,-0.0543728900540017,-0.015021038202149901,0.015021038202149901
OfficeHome,Ours,resnet,Softmax,Contrast,-0.0474537037037036,-0.0543728900540017,-0.006919186350298097,0.006919186350298097
OfficeHome,Ours,resnet,Softmax,Contrast,-0.0567129629629629,-0.0543728900540017,0.0023400729089612035,0.0023400729089612035
OfficeHome,Ours,resnet,Softmax,Contrast,-0.0648148148148147,-0.0543728900540017,0.010441924760813001,0.010441924760813001
OfficeHome,Ours,resnet,Softmax,Contrast,-0.0648148148148147,-0.0543728900540017,0.010441924760813001,0.010441924760813001
